1970s#n	senseval2.d001.s037.t003	1970s%1:28:00::
come#v	senseval3.d000.s134.t000	come%2:38:00::
come#v	senseval3.d002.s003.t002	come%2:38:02::
come#v	senseval3.d002.s053.t001	come%2:38:04::
come#v	senseval3.d002.s100.t009	come%2:38:00::
come#v	senseval3.d002.s101.t007	come%2:38:04::
come#v	senseval3.d002.s111.t004	come%2:38:04::
come#v	semeval2007.d002.s027.t000	come%2:42:05::
come#v	semeval2007.d002.s029.t000	come%2:42:05::
come#v	semeval2007.d002.s031.t000	come%2:38:00::
come#v	semeval2007.d002.s033.t000	come%2:38:00::
come#v	semeval2007.d002.s046.t000	come%2:30:03::
come#v	semeval2007.d002.s050.t002	come%2:30:03::
come_around#v	semeval2007.d001.s029.t000	come_around%2:31:00::
come_back#v	senseval3.d000.s011.t005	come_back%2:30:00::
come_close#v	senseval2.d001.s093.t006	come_close%2:41:00::
come_into#v	semeval2015.d003.s022.t004	come_into%2:40:00::
come_to#v	senseval3.d000.s016.t004	come_to%2:41:00::
come_to#v	senseval3.d001.s014.t001	come_to%2:42:03::
come_to#v	semeval2007.d002.s003.t002	come_to%2:39:00::
come_up#v	senseval3.d002.s005.t003	come_up%2:35:00::
comfort#n	senseval3.d002.s000.t007	comfort%1:04:00::
comment#n	semeval2007.d000.s001.t000	comment%1:10:00::
comment#n	semeval2013.d000.s015.t000	comment%1:10:00::
commerce#n	semeval2007.d001.s036.t005	commerce%1:04:00::
commission#n	semeval2015.d002.s004.t002	commission%1:14:00::
commission#n	semeval2015.d002.s008.t012	commission%1:14:00::
commit#v	senseval2.d002.s024.t005	commit%2:32:01::
commitment#n	senseval2.d002.s014.t000	commitment%1:04:00::
commitment#n	semeval2013.d003.s017.t003	commitment%1:04:02::
committee#n	senseval3.d001.s040.t022	committee%1:14:00::
committee#n	semeval2013.d006.s005.t000	committee%1:14:00::
committee#n	semeval2015.d000.s001.t001	committee%1:14:00::
committee#n	semeval2015.d002.s008.t014	committee%1:14:00::
committee#n	semeval2015.d002.s008.t023	committee%1:14:00::
committee#n	semeval2015.d003.s001.t001	committee%1:14:00::
common#a	senseval2.d001.s032.t005	common%5:00:00:familiar:02
common#a	senseval2.d001.s067.t007	common%5:00:00:familiar:02
common#a	senseval2.d001.s070.t009	common%5:00:00:shared:00
common#a	senseval2.d001.s088.t010	common%5:00:00:familiar:02
common#a	semeval2015.d002.s002.t014	common%5:00:00:familiar:02
common_sense#n	senseval2.d002.s013.t012	common_sense%1:09:00::
common_sense#n	senseval2.d002.s015.t006	common_sense%1:09:00::
common_sense#n	senseval2.d002.s016.t003	common_sense%1:09:00::
common_sense#n	semeval2013.d000.s015.t006	common_sense%1:09:00::
common_sense#n	semeval2015.d001.s010.t002	common_sense%1:09:00::
commonplace#a	senseval3.d002.s137.t002	commonplace%5:00:02:ordinary:00
communication#n	semeval2013.d005.s016.t004	communication%1:10:01::
community#n	senseval2.d002.s055.t000	community%1:14:00::
community#n	semeval2015.d002.s001.t014	community%1:14:00::
community#n	semeval2015.d002.s009.t017	community%1:14:00::
community_property#n	senseval3.d000.s127.t000	community_property%1:21:00::
companion#n	senseval3.d000.s001.t001	companion%1:18:00::
companion#n	semeval2007.d002.s041.t002	companion%1:18:02::
company#n	senseval2.d001.s090.t003	company%1:14:01::
company#n	senseval3.d000.s027.t002	company%1:26:00::
company#n	senseval3.d000.s029.t003	company%1:26:00::
company#n	senseval3.d000.s116.t002	company%1:26:00::
company#n	semeval2007.d001.s004.t003	company%1:14:01::
company#n	semeval2007.d001.s012.t000	company%1:14:01::
company#n	semeval2007.d001.s013.t003	company%1:14:01::
company#n	semeval2013.d003.s003.t000	company%1:14:01::
company#n	semeval2013.d003.s004.t000	company%1:14:01::
company#n	semeval2013.d003.s006.t000	company%1:14:01::
company#n	semeval2013.d003.s008.t005	company%1:14:01::
company#n	semeval2013.d003.s012.t000	company%1:14:01::
company#n	semeval2013.d003.s014.t000	company%1:14:01::
company#n	semeval2013.d003.s015.t002	company%1:14:01::
company#n	semeval2013.d003.s017.t000	company%1:14:01::
company#n	semeval2013.d003.s018.t000	company%1:14:01::
company#n	semeval2013.d008.s026.t005	company%1:14:01::
company#n	semeval2013.d009.s016.t003	company%1:14:01::
company#n	semeval2013.d012.s016.t002	company%1:14:01::
comparative#a	semeval2015.d002.s005.t003	comparative%3:01:00::
compare#v	senseval2.d001.s076.t001	compare%2:31:00::
compare#v	senseval2.d002.s029.t002	compare%2:31:01::
compare#v	senseval2.d002.s074.t006	compare%2:31:00::
compare#v	semeval2015.d000.s026.t002	compare%2:31:00::
compare#v	semeval2015.d000.s027.t004	compare%2:31:00::
compare#v	semeval2015.d000.s028.t001	compare%2:31:00::
compare#v	semeval2015.d000.s032.t005	compare%2:31:00::
compare#v	semeval2015.d000.s034.t008	compare%2:31:00::
compatibility#n	semeval2013.d011.s001.t008	compatibility%1:07:00::
compensation#n	semeval2013.d012.s011.t000	compensation%1:21:00::
compensation#n	semeval2013.d012.s019.t004	compensation%1:21:00::
competent#a	senseval2.d002.s028.t003	competent%3:00:00::
competent#a	senseval2.d002.s031.t000	competent%3:00:00::
competition#n	semeval2013.d010.s006.t007	competition%1:11:00::
competitive#a	senseval3.d001.s027.t011	competitive%3:00:00::
competitor#n	semeval2013.d003.s017.t002	competitor%1:18:00::
complain#v	senseval3.d000.s050.t002	complain%2:32:00::
complain#v	senseval3.d000.s120.t001	complain%2:32:00::
complaint#n	semeval2013.d006.s014.t001	complaint%1:10:00::
complementarity#n	semeval2013.d011.s018.t005	complementarity%1:24:02::
complete#v	senseval2.d000.s035.t001	complete%2:30:02::
completeness#n	senseval2.d000.s030.t012	completeness%1:26:00::
complex#a	senseval2.d002.s017.t001	complex%3:00:00::
complicated#a	senseval2.d000.s017.t001	complicated%5:00:00:complex:00
compose#v	semeval2007.d000.s009.t005	compose%2:42:00::
comprehensive#a	senseval2.d002.s045.t008	comprehensive%5:00:00:inclusive:00
comprehensive#a	senseval2.d002.s046.t000	comprehensive%5:00:00:inclusive:00
computer#n	senseval3.d002.s002.t003	computer%1:06:00::
computer#n	senseval3.d002.s002.t008	computer%1:06:00::
computer#n	senseval3.d002.s092.t002	computer%1:06:00::
computer#n	senseval3.d002.s093.t001	computer%1:06:00::
concede#v	senseval3.d000.s048.t000	concede%2:32:01::
concentration#n	senseval2.d000.s018.t016	concentration%1:07:01::
concentration#n	semeval2013.d007.s022.t002	concentration%1:07:02::
conceptual#a	senseval2.d002.s075.t009	conceptual%5:00:00:abstract:00
concern#n	senseval3.d001.s035.t016	concern%1:09:00::
concern#n	semeval2013.d003.s001.t000	concern%1:09:00::
concern#n	semeval2013.d003.s010.t000	concern%1:09:00::
concern#n	semeval2013.d005.s015.t001	concern%1:12:01::
concern#v	senseval2.d002.s043.t007	concern%2:42:01::
concern#v	semeval2015.d002.s018.t007	concern%2:42:00::
concerned#a	senseval2.d001.s027.t002	concerned%3:00:00::
concrete#a	senseval3.d002.s046.t003	concrete%5:00:00:solid:01
concrete#n	senseval3.d002.s100.t017	concrete%1:27:00::
condition#n	semeval2015.d000.s002.t004	condition%1:26:05::
condition#n	semeval2015.d001.s021.t000	condition%1:10:01::
condition#n	semeval2015.d001.s023.t001	condition%1:10:01::
condition#n	semeval2015.d001.s023.t003	condition%1:10:01::
condition#n	semeval2015.d001.s023.t007	condition%1:10:01::
conditional#a	semeval2015.d001.s022.t002	conditional%3:00:00::
conduct#v	senseval3.d001.s041.t019	conduct%2:41:00::
conduct#v	semeval2007.d000.s031.t004	conduct%2:41:00::
confer#v	senseval3.d001.s010.t017	confer%2:40:00::
conference#n	senseval2.d002.s045.t003	conference%1:14:00::
conference#n	semeval2013.d000.s001.t001	conference%1:14:00::
conference#n	semeval2013.d009.s002.t003	conference%1:10:00::
conference#n	semeval2013.d009.s009.t005	conference%1:10:00::
conference#n	semeval2015.d002.s000.t004	conference%1:14:00::
conference#n	semeval2015.d002.s004.t010	conference%1:14:00::
conference#n	semeval2015.d002.s008.t003	conference%1:14:00::
conference#n	semeval2015.d002.s014.t005	conference%1:14:00::
confidence#n	semeval2013.d002.s008.t000	confidence%1:26:02::
confidence#n	semeval2013.d008.s014.t000	confidence%1:26:02::
confirm#v	senseval2.d001.s067.t000	confirm%2:31:00::
confront#v	senseval3.d001.s019.t014	confront%2:32:03::
confusing#a	senseval2.d001.s061.t001	confusing%5:00:00:unclear:00
confusion#n	senseval3.d002.s088.t005	confusion%1:09:00::
congestion#n	semeval2013.d011.s001.t003	congestion%1:26:01::
congregation#n	senseval2.d000.s040.t004	congregation%1:14:00::
congregation#n	senseval2.d000.s045.t015	congregation%1:14:00::
congress#n	semeval2013.d008.s014.t002	congress%1:14:02::
congress#n	semeval2013.d009.s003.t006	congress%1:14:01::
congressional#a	senseval3.d001.s000.t001	congressional%3:01:00::
congressional#a	senseval3.d001.s001.t005	congressional%3:01:00::
congressional#a	senseval3.d001.s004.t013	congressional%3:01:00::
congressional#a	senseval3.d001.s010.t000	congressional%3:01:00::
congressional#a	senseval3.d001.s011.t001	congressional%3:01:00::
congressional#a	senseval3.d001.s020.t006	congressional%3:01:00::
congressional#a	senseval3.d001.s025.t009	congressional%3:01:00::
congressional#a	senseval3.d001.s026.t004	congressional%3:01:00::
congressional#a	senseval3.d001.s027.t005	congressional%3:01:00::
congressional#a	senseval3.d001.s027.t013	congressional%3:01:00::
congressional#a	senseval3.d001.s035.t012	congressional%3:01:00::
connect#v	semeval2007.d000.s016.t003	connect%2:31:00::
connecticut#n	semeval2013.d005.s015.t005	connecticut%1:15:00::
connecticut#n	semeval2013.d005.s023.t005	connecticut%1:15:00::
conscientious#a	senseval2.d002.s024.t006	conscientious%5:00:00:careful:00
conscientious#a	senseval2.d002.s028.t004	conscientious%5:00:00:careful:00
conscientious#a	senseval2.d002.s031.t001	conscientious%5:00:00:careful:00
consensus#n	semeval2013.d011.s004.t001	consensus%1:26:00::
consensus#n	semeval2013.d011.s012.t008	consensus%1:26:00::
conservative#n	semeval2013.d009.s022.t000	conservative%1:18:01::
consider#v	senseval2.d000.s017.t009	consider%2:31:00::
consider#v	semeval2007.d000.s025.t001	consider%2:39:00::
consider#v	semeval2015.d002.s020.t002	consider%2:32:02::
consist#v	semeval2015.d001.s007.t002	consist%2:42:01::
console#n	semeval2015.d001.s007.t003	console%1:06:02::
conspirator#n	senseval3.d000.s106.t010	conspirator%1:18:00::
constant#a	senseval3.d001.s041.t006	constant%5:00:00:invariable:00
constant#a	senseval3.d001.s045.t006	constant%5:00:00:invariable:00
constituency#n	senseval2.d002.s036.t012	constituency%1:14:00::
constituency#n	senseval3.d001.s010.t023	constituency%1:14:00::
constituency#n	senseval3.d001.s013.t013	constituency%1:14:00::
constituency#n	senseval3.d001.s020.t023	constituency%1:14:00::
constituency#n	senseval3.d001.s029.t013	constituency%1:14:00::
constituent#n	senseval3.d001.s020.t010	constituent%1:18:00::
constituent#n	senseval3.d001.s035.t015	constituent%1:18:00::
constitute#v	senseval2.d001.s071.t003	constitute%2:42:00::
consumer#n	semeval2013.d002.s008.t001	consumer%1:18:00::
contact#n	semeval2015.d003.s022.t005	contact%1:04:00::
contact#v	semeval2015.d000.s002.t011	contact%2:32:00::
contain#v	senseval2.d001.s041.t012	contain%2:42:00::
contain#v	senseval2.d001.s045.t003	contain%2:42:00::
contain#v	semeval2015.d000.s006.t000	contain%2:42:00::
contain#v	semeval2015.d002.s009.t003	contain%2:42:00::
contain#v	semeval2015.d003.s003.t000	contain%2:42:00::
content#v	senseval3.d000.s053.t002	content%2:37:00::
continental#a	senseval2.d000.s017.t007	continental%3:01:01::
continue#v	senseval3.d000.s031.t009	continue%2:42:01::
continue#v	senseval3.d002.s088.t007	continue%2:30:10::
contract#n	semeval2007.d001.s007.t002	contract%1:10:00::
contract#n	semeval2013.d003.s014.t001	contract%1:10:00::
contract#n	semeval2013.d003.s015.t001	contract%1:10:00::
contract#n	semeval2013.d003.s015.t004	contract%1:10:00::
contractor#n	semeval2007.d001.s004.t004	contractor%1:18:00::
contrast#n	semeval2013.d010.s003.t000	contrast%1:09:01::
contrast#n	semeval2015.d000.s037.t000	contrast%1:24:00::
contribution#n	semeval2013.d011.s022.t007	contribution%1:04:02::
contributor#n	semeval2013.d011.s021.t001	contributor%1:18:00::
control#n	senseval3.d001.s040.t004	control%1:07:00::
control#n	senseval3.d001.s040.t015	control%1:07:00::
control#v	senseval2.d001.s015.t004	control%2:41:01::
control#v	senseval2.d001.s025.t005	control%2:41:01::
controversial#a	senseval2.d002.s044.t006	controversial%3:00:00::
controversy#n	semeval2013.d006.s025.t000	controversy%1:10:00::
conventional#a	senseval2.d002.s044.t003	conventional%3:00:01::
conversation#n	senseval3.d000.s070.t002	conversation%1:10:00::
conversely#r	senseval2.d002.s041.t000	conversely%4:02:00::
convert#v	semeval2015.d000.s023.t001	convert%2:30:03::
convert#v	semeval2015.d001.s009.t008	convert%2:30:03::
conviction#n	semeval2013.d005.s012.t002	conviction%1:04:00::
conviction#n	semeval2013.d005.s014.t002	conviction%1:04:00::
conviction#n	semeval2013.d005.s030.t003	conviction%1:04:00::
convince#v	senseval3.d000.s088.t000	convince%2:32:00::
cool#a	senseval2.d000.s006.t008	cool%3:00:01::
cop#n	senseval3.d000.s146.t000	cop%1:18:00::
copenhagen#n	semeval2013.d000.s003.t005	copenhagen%1:15:00::
copenhagen#n	semeval2013.d000.s020.t004	copenhagen%1:15:00::
copenhagen#n	semeval2013.d000.s026.t003	copenhagen%1:15:00::
copy#n	senseval2.d001.s014.t003	copy%1:06:00::
copy#n	senseval2.d001.s015.t000	copy%1:06:00::
copy#n	senseval2.d001.s015.t009	copy%1:06:00::
copy#n	senseval2.d001.s016.t003	copy%1:06:00::
copy#n	senseval2.d001.s016.t005	copy%1:06:00::
copy#n	senseval2.d001.s016.t015	copy%1:06:00::
copy#n	senseval2.d001.s038.t006	copy%1:06:00::
copy#n	senseval2.d001.s038.t010	copy%1:06:00::
copy#n	senseval2.d001.s039.t005	copy%1:06:00::
copy#n	senseval2.d001.s043.t006	copy%1:06:00::
copy#n	senseval2.d001.s049.t008	copy%1:06:00::
copy#n	senseval2.d001.s049.t013	copy%1:06:00::
copy#n	senseval2.d001.s051.t004	copy%1:06:00::
copy#n	senseval2.d001.s063.t000	copy%1:06:00::
copy#n	senseval2.d001.s064.t000	copy%1:06:00::
copy#n	senseval2.d001.s079.t004	copy%1:06:00::
copy#n	senseval2.d001.s087.t006	copy%1:06:00::
corner#n	senseval3.d000.s026.t003	corner%1:06:02::
corner#n	senseval3.d000.s099.t002	corner%1:15:02::
corner#n	senseval3.d000.s109.t004	corner%1:06:02::
corner#n	senseval3.d002.s040.t004	corner%1:06:00::
corner#n	senseval3.d002.s066.t001	corner%1:06:00::
corroborate#v	senseval3.d001.s033.t002	corroborate%2:32:00::
corrupt#a	senseval2.d002.s057.t009	corrupt%3:00:00::
corticosteroid#n	semeval2015.d000.s016.t004	corticosteroid%1:27:00::
cos#n	semeval2015.d001.s028.t003	cos%1:24:00::
cost#n	senseval3.d001.s010.t016	cost%1:21:00::
cost#n	senseval3.d001.s020.t017	cost%1:07:01::
cost#n	semeval2013.d000.s018.t002	cost%1:21:00::
cost#v	senseval3.d000.s042.t000	cost%2:42:01::
costa_rica#n	semeval2013.d010.s002.t001	costa_rica%1:15:00::
costa_rica#n	semeval2013.d010.s003.t001	costa_rica%1:15:00::
costa_rica#n	semeval2013.d010.s021.t001	costa_rica%1:15:00::
coughing#n	senseval3.d000.s002.t006	coughing%1:26:00::
coughing#n	senseval3.d000.s031.t001	coughing%1:26:00::
council#n	senseval2.d000.s055.t000	council%1:14:01::
count#n	senseval3.d000.s004.t006	count%1:23:00::
counterpart#n	senseval3.d001.s031.t016	counterpart%1:09:00::
country#n	senseval2.d000.s050.t011	country%1:15:00::
country#n	senseval2.d000.s059.t002	country%1:15:00::
country#n	senseval2.d002.s045.t006	country%1:14:01::
country#n	senseval2.d002.s063.t014	country%1:14:00::
country#n	semeval2013.d000.s004.t003	country%1:14:00::
country#n	semeval2013.d000.s009.t000	country%1:14:00::
country#n	semeval2013.d000.s010.t006	country%1:14:00::
country#n	semeval2013.d000.s017.t009	country%1:14:00::
country#n	semeval2013.d000.s018.t004	country%1:14:00::
country#n	semeval2013.d000.s020.t000	country%1:14:00::
country#n	semeval2013.d000.s025.t005	country%1:14:00::
country#n	semeval2013.d008.s004.t002	country%1:14:00::
country#n	semeval2013.d008.s009.t002	country%1:14:00::
country#n	semeval2013.d008.s012.t005	country%1:14:00::
country#n	semeval2013.d008.s013.t002	country%1:14:00::
country#n	semeval2013.d008.s014.t001	country%1:14:00::
country#n	semeval2013.d008.s016.t001	country%1:14:00::
country#n	semeval2013.d008.s019.t001	country%1:14:00::
country#n	semeval2013.d008.s019.t002	country%1:14:00::
country#n	semeval2013.d008.s022.t008	country%1:14:00::
country#n	semeval2013.d008.s025.t002	country%1:14:00::
country#n	semeval2013.d008.s027.t001	country%1:14:00::
country#n	semeval2013.d008.s028.t001	country%1:14:00::
country#n	semeval2013.d010.s003.t003	country%1:14:00::
country#n	semeval2013.d011.s001.t011	country%1:14:00::
country#n	semeval2013.d011.s001.t012	country%1:14:00::
country#n	semeval2013.d011.s005.t004	country%1:14:00::
country#n	semeval2013.d011.s012.t016	country%1:14:00::
country#n	semeval2013.d011.s018.t002	country%1:14:00::
country#n	semeval2015.d002.s006.t013	country%1:15:00::
country#n	semeval2015.d002.s010.t000	country%1:15:00::
couple#n	senseval2.d001.s019.t000	couple%1:14:01::
couple#n	senseval3.d002.s109.t005	couple%1:14:01::
couple#n	senseval3.d002.s140.t002	couple%1:14:00::
couple#n	semeval2013.d001.s012.t001	couple%1:23:01::
course#n	senseval2.d002.s020.t005	course%1:04:01::
course#n	senseval2.d002.s021.t002	course%1:04:01::
course#n	senseval2.d002.s022.t004	course%1:04:01::
court#n	semeval2007.d001.s029.t002	court%1:14:00::
court#n	semeval2013.d005.s005.t001	court%1:14:00::
court#n	semeval2013.d005.s005.t005	court%1:14:00::
court#n	semeval2013.d005.s027.t006	court%1:14:00::
court#n	semeval2013.d005.s028.t005	court%1:14:00::
court#n	semeval2013.d009.s000.t003	court%1:14:00::
court#n	semeval2013.d009.s004.t009	court%1:14:00::
court#n	semeval2013.d009.s005.t001	court%1:14:00::
court#n	semeval2013.d009.s009.t004	court%1:14:00::
court#n	semeval2013.d009.s017.t006	court%1:14:00::
court#n	semeval2013.d009.s018.t004	court%1:14:00::
court#n	semeval2013.d009.s020.t003	court%1:14:00::
court#n	semeval2013.d012.s006.t002	court%1:14:00::
courthouse#n	semeval2013.d005.s025.t003	courthouse%1:06:00::
courtroom#n	semeval2013.d005.s001.t001	courtroom%1:06:00::
courtroom#n	semeval2013.d005.s007.t004	courtroom%1:06:00::
courtroom#n	semeval2013.d005.s008.t003	courtroom%1:06:00::
courtroom#n	semeval2013.d005.s014.t008	courtroom%1:06:00::
courtroom#n	semeval2013.d005.s016.t005	courtroom%1:06:00::
cover#v	semeval2015.d002.s021.t002	cover%2:42:02::
coverage#n	semeval2013.d005.s011.t002	coverage%1:10:00::
coverage#n	semeval2013.d005.s022.t002	coverage%1:10:00::
coverage#n	semeval2013.d005.s026.t001	coverage%1:10:00::
coverage#n	semeval2013.d005.s027.t008	coverage%1:10:00::
coverage#n	semeval2013.d005.s030.t005	coverage%1:10:00::
cow#n	semeval2007.d002.s029.t005	cow%1:05:01::
crack#n	senseval3.d002.s046.t002	crack%1:17:00::
crack#v	senseval3.d002.s051.t004	crack%2:39:01::
craft#n	semeval2007.d002.s050.t006	craft%1:06:00::
cram#v	semeval2007.d002.s050.t014	cram%2:35:10::
crawl#v	senseval3.d000.s078.t001	crawl%2:42:01::
crazy#a	senseval3.d000.s003.t002	crazy%5:00:00:insane:00
crease#n	senseval3.d000.s035.t001	crease%1:25:01::
create#v	semeval2007.d000.s016.t001	create%2:36:00::
creation#n	semeval2007.d001.s007.t000	creation%1:06:00::
creation#n	semeval2013.d011.s020.t003	creation%1:04:00::
creativity#n	senseval2.d002.s006.t007	creativity%1:09:00::
creativity#n	senseval2.d002.s007.t002	creativity%1:09:00::
creativity#n	senseval2.d002.s011.t002	creativity%1:09:00::
creativity#n	senseval2.d002.s014.t001	creativity%1:09:00::
credit_union#n	semeval2013.d012.s002.t010	credit_union%1:14:00::
credit_union#n	semeval2013.d012.s004.t004	credit_union%1:14:00::
credit_union#n	semeval2013.d012.s005.t003	credit_union%1:14:00::
credit_union#n	semeval2013.d012.s010.t001	credit_union%1:14:00::
creep#n	senseval3.d000.s111.t001	creep%1:18:00::
crime#n	semeval2013.d005.s013.t000	crime%1:04:00::
crime#n	semeval2013.d008.s002.t000	crime%1:04:00::
crime#n	semeval2013.d008.s021.t003	crime%1:04:00::
crime#n	semeval2013.d008.s022.t005	crime%1:04:00::
crime#n	semeval2013.d008.s023.t002	crime%1:04:00::
crisis#n	senseval2.d002.s032.t004	crisis%1:26:00::
crisis#n	semeval2013.d004.s008.t002	crisis%1:26:00::
crisis#n	semeval2013.d012.s005.t002	crisis%1:26:00::
crisis#n	semeval2013.d012.s017.t003	crisis%1:26:00::
critic#n	semeval2013.d009.s020.t001	critic%1:18:02::
critic#n	semeval2013.d009.s024.t000	critic%1:18:02::
critical#a	senseval2.d001.s045.t007	critical%5:00:00:indispensable:00
critical#a	senseval2.d001.s067.t005	critical%5:00:00:indispensable:00
critical#a	semeval2015.d002.s000.t006	critical%5:00:00:crucial:00
cross#v	senseval3.d000.s012.t005	cross%2:38:00::
cross#v	senseval3.d002.s055.t005	cross%2:38:00::
crossing#n	senseval3.d000.s110.t007	crossing%1:06:01::
crucial#a	senseval2.d001.s035.t006	crucial%5:00:00:important:00
cruise#v	semeval2007.d002.s039.t001	cruise%2:38:02::
crunch#n	senseval2.d000.s045.t001	crunch%1:11:00::
crunch#n	senseval2.d000.s045.t002	crunch%1:11:00::
crunch#n	senseval2.d000.s045.t003	crunch%1:11:00::
crusade#n	semeval2007.d000.s028.t010	crusade%1:04:00::
crush#n	semeval2013.d005.s025.t000	crush%1:04:00::
cry#v	senseval3.d002.s103.t003	cry%2:29:00::
crystal#n	senseval3.d002.s122.t002	crystal%1:06:01::
culpability#n	semeval2013.d012.s007.t001	culpability%1:26:00::
cunning#a	senseval3.d000.s143.t001	cunning%5:00:00:artful:00
cup#n	semeval2013.d010.s006.t006	cup%1:06:01::
cupboard#n	senseval3.d002.s100.t000	cupboard%1:06:00::
current#a	senseval2.d002.s059.t004	current%3:00:00::
current#n	semeval2007.d002.s036.t008	current%1:11:00::
curriculum#n	senseval2.d002.s076.t008	curriculum%1:10:00::
curse#v	senseval3.d000.s018.t002	curse%2:32:02::
customer#n	senseval3.d000.s060.t001	customer%1:18:00::
customer#n	senseval3.d000.s062.t000	customer%1:18:00::
customer#n	senseval3.d000.s155.t003	customer%1:18:00::
customer#n	semeval2013.d012.s010.t003	customer%1:18:00::
cut#n	semeval2013.d000.s012.t004	cut%1:04:05::
cut#n	semeval2013.d000.s014.t005	cut%1:04:05::
cycle#n	semeval2013.d006.s019.t011	cycle%1:11:01::
cycle#n	semeval2013.d006.s019.t017	cycle%1:11:01::
cytotoxic#a	semeval2015.d000.s022.t002	cytotoxic%3:01:00::
daily#r	semeval2015.d003.s021.t004	daily%4:02:00::
damage#n	senseval2.d001.s042.t003	damage%1:11:00::
damage#n	senseval2.d001.s059.t016	damage%1:11:00::
damage#n	senseval2.d001.s060.t012	damage%1:11:00::
damage#n	semeval2013.d006.s010.t002	damage%1:11:00::
damage#n	semeval2013.d006.s026.t000	damage%1:11:00::
damage#v	senseval2.d001.s000.t005	damage%2:30:00::
damage#v	senseval2.d001.s010.t001	damage%2:30:00::
damage#v	senseval2.d001.s013.t017	damage%2:30:00::
damage#v	senseval2.d001.s016.t006	damage%2:30:00::
damage#v	senseval2.d001.s039.t007	damage%2:30:00::
damage#v	senseval2.d001.s065.t003	damage%2:30:00::
damage#v	senseval2.d001.s068.t004	damage%2:30:00::
damage#v	senseval3.d002.s066.t002	damage%2:30:00::
damaged#a	senseval2.d001.s020.t002	damaged%3:00:00::
damaged#a	senseval2.d001.s022.t007	damaged%3:00:00::
damaged#a	senseval2.d001.s031.t007	damaged%3:00:00::
damaged#a	senseval2.d001.s038.t005	damaged%3:00:00::
damaged#a	senseval2.d001.s043.t005	damaged%3:00:00::
damaged#a	senseval2.d001.s076.t015	damaged%3:00:00::
damaged#a	senseval2.d001.s080.t012	damaged%3:00:00::
damaged#a	senseval2.d001.s092.t007	damaged%3:00:00::
damn#a	senseval3.d002.s047.t001	damn%5:00:02:cursed:00
dance#n	senseval2.d000.s012.t004	dance%1:11:00::
dance#v	senseval3.d002.s100.t016	dance%2:38:02::
danger#n	semeval2013.d005.s008.t001	danger%1:26:00::
danger#n	semeval2013.d006.s011.t007	danger%1:26:00::
dark#a	senseval3.d000.s109.t006	dark%5:00:00:brunet:00
datum#n	senseval3.d001.s037.t000	datum%1:09:00::
daughter#n	senseval3.d002.s027.t000	daughter%1:18:00::
daughter#n	semeval2013.d005.s019.t003	daughter%1:18:00::
day#n	senseval3.d000.s069.t001	day%1:28:00::
day#n	senseval3.d000.s071.t002	day%1:28:02::
day#n	semeval2013.d000.s025.t002	day%1:28:00::
day#n	semeval2013.d009.s001.t000	day%1:28:03::
day#n	semeval2015.d003.s010.t002	day%1:28:02::
deadly#a	senseval2.d001.s007.t009	deadly%5:00:00:virulent:00
deadly#a	senseval2.d001.s059.t014	deadly%5:00:01:fatal:00
deal#n	senseval3.d000.s127.t001	deal%1:10:00::
deal#n	semeval2013.d000.s002.t002	deal%1:10:00::
deal#n	semeval2013.d000.s008.t001	deal%1:10:00::
deal#n	semeval2013.d000.s014.t001	deal%1:10:00::
deal#n	semeval2013.d000.s020.t007	deal%1:10:00::
deal#n	semeval2013.d000.s023.t005	deal%1:10:00::
deal#n	semeval2013.d003.s000.t000	deal%1:10:00::
deal#n	semeval2013.d003.s002.t000	deal%1:10:00::
deal#n	semeval2013.d003.s006.t001	deal%1:04:02::
deal#n	semeval2013.d003.s012.t001	deal%1:10:00::
deal#v	senseval3.d001.s010.t007	deal%2:41:09::
deal#v	semeval2015.d002.s000.t005	deal%2:41:13::
death_penalty#n	semeval2013.d005.s015.t006	death_penalty%1:04:00::
death_penalty#n	semeval2013.d005.s020.t001	death_penalty%1:04:00::
debate#n	semeval2013.d006.s008.t001	debate%1:10:01::
debate#n	semeval2013.d006.s009.t000	debate%1:10:01::
debate#v	semeval2015.d002.s001.t004	debate%2:31:00::
decade#n	senseval2.d001.s006.t001	decade%1:28:00::
decade#n	senseval2.d002.s061.t000	decade%1:28:00::
decade#n	senseval3.d001.s006.t003	decade%1:28:00::
decade#n	semeval2013.d003.s002.t009	decade%1:28:00::
decade#n	semeval2013.d005.s011.t000	decade%1:28:00::
decade#n	semeval2013.d008.s015.t000	decade%1:28:00::
december#n	semeval2013.d002.s008.t002	december%1:28:00::
decent#a	senseval2.d002.s013.t006	decent%5:00:00:sufficient:00
decide#v	senseval3.d000.s027.t000	decide%2:31:00::
decide#v	senseval3.d000.s067.t000	decide%2:31:00::
decide#v	senseval3.d002.s053.t000	decide%2:31:00::
decide#v	senseval3.d002.s054.t000	decide%2:31:00::
decide#v	semeval2007.d002.s027.t006	decide%2:31:00::
decision#n	senseval3.d001.s040.t003	decision%1:04:00::
decision#n	semeval2007.d001.s036.t012	decision%1:09:00::
decision#n	semeval2013.d005.s012.t007	decision%1:09:00::
decision#n	semeval2013.d005.s020.t007	decision%1:09:00::
decision#n	semeval2013.d005.s030.t002	decision%1:09:00::
decision#n	semeval2013.d006.s021.t003	decision%1:09:00::
decision#n	semeval2013.d006.s023.t000	decision%1:09:00::
